title,authors,numPages,publicationDate,publisher,price
Philosophy of Mind: Classical and Contemporary Readings,David J. Chalmers,675,7/25/2002,Oxford University Press  USA,60.96
The Undead and Philosophy: Chicken Soup for the Soulless,Richard V. Greene/K. Silem Mohammad,288,8/29/2006,Open Court,23.16
Philosophy in a Time of Terror: Dialogues with Jürgen Habermas and Jacques Derrida,Jürgen Habermas/Jacques Derrida/Giovanna Borradori,208,9/1/2004,University of Chicago Press,86.42
An Introduction to Political Philosophy,Jonathan Wolff,215,3/1/2006,Oxford University Press  USA,47.56
A Source Book in Indian Philosophy,Sarvepalli Radhakrishnan/Charles Alexander Moore/Kapila/Nandalal Sinha/Kautilya/R. Shamasastry/Manu/Georg Bühler/Patañjali/Rama Prasada/Nāgārjuna/Hermann Oldenberg/Susumu Yamaguchi/Ganganatha Jha/Ramanuja/George Thibaut/Pratap Chandra Ray/Edward J. Thomas,720,4/21/1967,Princeton University Press,13.41
Philosophy: The Basics,Nigel Warburton,169,7/1/2004,Routledge,70.53
A Young Person's Guide To Philosophy,Jeremy Weate/Peter Lawman,64,9/21/1998,DK Children,98.93
Philosophy in the Flesh: The Embodied Mind and its Challenge to Western Thought,George Lakoff/Mark  Johnson,640,10/8/1999,Basic Books,21.47
Practical Philosophy,Immanuel Kant/Mary J. Gregor,704,12/8/1999,Cambridge University Press,68.27
Discourse on Method and Meditations on First Philosophy,René Descartes/Donald A. Cress,103,6/15/1999,Hackett Publishing Company  Inc.,34.01
Readings in Classical Chinese Philosophy,Philip J. Ivanhoe/Bryan W. Van Norden,416,12/1/2005,Hackett Publishing Company  Inc.,2.21
Logic and Philosophy: A Modern Introduction,Alan Hausman/Paul Tidman,525,6/1/2006,Cengage Learning,93.07
History of Political Philosophy,Leo Strauss/Joseph Cropsey,980,11/30/1987,University of Chicago Press,88.37
What Is Ancient Philosophy?,Pierre Hadot/Michael Chase,384,3/15/2004,Belknap Press,1.39
Lectures on the History of Philosophy 1: Greek Philosophy to Plato,Georg Wilhelm Friedrich Hegel/E.S. Haldane/Frederick C. Beiser,487,6/1/1995,University of Nebraska Press,72.65
Seinfeld and Philosophy,William Irwin,224,8/20/1999,Open Court,7.65
Introduction to the Philosophies of Research and Criticism in Education and the Social Sciences,James   Paul,360,10/18/2004,Pearson,40.19
Introducing Philosophy,Dave Robinson/Chris Garratt/Judy Groves,176,8/8/2000,Icon Books,89.48
The Matrix and Philosophy: Welcome to the Desert of the Real,William Irwin/Gerald J. Erion/Barry  Smith/Carolyn Korsmeyer/Jonathan J. Sanford/Jason Holt/Theodore Schick Jr./Gregory Bassham/James Lawler/David Mitsuo Nixon,280,8/28/2002,Open Court,9.52
A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,328,11/11/2001,Routledge,32.63
Ancient Philosophy,Anthony Kenny,341,11/30/2006,Oxford University Press  USA,3.54
Woody Allen and Philosophy: [You Mean My Whole Fallacy Is Wrong?],Mark T. Conard/Aeon J. Skoble/Tom Morris/William Irwin,250,8/9/2004,Open Court,91.73
Three Philosophies of Life: Ecclesiastes—Life As Vanity  Job—Life As Suffering  Song of Songs—Life As Love,Peter Kreeft,140,6/1/1990,Ignatius Press,85.48
Philosophy of Religion,John Harwood Hick,160,11/20/1989,Pearson,85.01
Early Greek Philosophy,Jonathan Barnes,336,9/26/2002,Penguin Books,24.29
Contemporary Political Philosophy,Will Kymlicka,512,10/25/2001,Oxford University Press  USA,54.04
Buffy the Vampire Slayer and Philosophy: Fear and Trembling in Sunnydale,James B. South/William Irwin,335,3/13/2003,Open Court,45.57
Philosophy: The Classics,Nigel Warburton,257,7/9/1998,Routledge,0.04
The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,832,3/1/2007,Oxford University Press  USA,68.94
Three Books of Occult Philosophy,Cornelius Agrippa/Donald Tyson,1024,1/8/1992,Llewellyn Publications,79.25
Philosophy Made Simple,Robert Hellenga,304,3/1/2007,Back Bay Books,70.41
The Philosophy of Biology,David L. Hull/Michael Ruse,784,8/27/1998,Oxford University Press  USA,65.03
Ten Great Works of Philosophy,Robert Paul Wolff/René Descartes/David Hume/Immanuel Kant/John Stuart Mill/William  James/Plato/Aristotle/Anselm of Canterbury/Thomas Aquinas/Various,592,3/1/2002,Signet,7.32
Philosophy and the Mirror of Nature,Richard M. Rorty,424,1/21/1981,Princeton University Press,93.49
The Best American Sports Writing 2003,Buzz Bissinger/Glenn Stout/Elizabeth Gilbert/Bill Plaschke/Gary Smith/Michael J. Agovino,352,10/10/2003,Mariner Books,61.87
Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,451,8/2/2005,William Morrow Paperbacks,36.11
Mac OS X: Tiger Edition (The Missing Manual),David Pogue,864,7/19/2005,O'Reilly Media,99.73
Astonishing X-Men  Volume 2: Dangerous,Joss Whedon/John Cassaday,152,6/27/2007,Marvel,25.71
FINAL FANTASY X Official Strategy Guide,Dan Birlew,272,12/17/2001,BradyGames,3.57
Ultimate X-Men  Vol. 14: Phoenix?,Robert Kirkman/Ben Oliver/Tom Raney,144,10/4/2006,Marvel,33.85
Astonishing X-Men  Volume 1: Gifted,Joss Whedon/John Cassaday,152,5/10/2006,Marvel,26.45
Cross-X,Joe  Miller,480,10/3/2006,Farrar Straus Giroux,39.79
Astonishing X-Men  Volume 3: Torn,Joss Whedon/John Cassaday,152,2/14/2007,Marvel,71.75
X/1999  Volume 01: Prelude,CLAMP,200,4/30/2003,VIZ Media LLC,23.61
X/1999  Volume 02: Overture,CLAMP/Fred Burke,192,4/30/2003,VIZ Media LLC,35.79
鋼之鍊金術師 1,Hiromu Arakawa/荒川弘/方郁仁,183,6/1/2004,東立,9.68
鋼之鍊金術師 6,Hiromu Arakawa/荒川弘/方郁仁,191,6/2/2004,東立,18.57
鋼之鍊金術師 10,Hiromu Arakawa/荒川弘/方郁仁,188,3/23/2005,東立,58.15
鋼之鍊金術師 4,Hiromu Arakawa/荒川弘/方郁仁,189,6/2/2004,東立,13.43
鋼之鍊金術師 9,Hiromu Arakawa/荒川弘/方郁仁,184,12/16/2004,東立,98.2
鋼之鍊金術師 5,Hiromu Arakawa/荒川弘/方郁仁,189,6/2/2004,東立,93.96
鋼之鍊金術師 2,Hiromu Arakawa/荒川弘/方郁仁,185,6/1/2004,東立,36.16
鋼之鍊金術師 7,Hiromu Arakawa/荒川弘/方郁仁,191,6/12/2004,東立,21.39
The Gospel According to Job,Mike Mason,448,10/3/2002,Crossway Books,19.71
Avid Editing: A Guide for Beginning and Intermediate Users,Sam Kauffmann,414,3/17/2003,Focal Press,45.37
The Complete Poems (Poetry Library),D.H. Lawrence,704,8/5/1994,Wordsworth Editions,63.2
Complete Short Stories  Vol 2,D.H. Lawrence,303,7/10/1961,Penguin/Viking Compass (Non-Classics),81.78
D.H. Lawrence and Italy: Twilight in Italy/Sea and Sardinia/Etruscan Places,D.H. Lawrence,512,7/1/1997,Penguin Classics,6.61
The Complete Poems,D.H. Lawrence/Vivian de Sola Pinto/Warren Roberts,1088,1/1/1994,Penguin Classics,43.12
Sons and Lovers,D.H. Lawrence/Geoff Dyer,654,8/17/1999,Modern Library Classics,42.44
The Woman Who Rode Away and Other Stories,D.H. Lawrence/Christa Jansohn,556,8/8/2002,Cambridge University Press,34
Amnesia Moon,Jonathan Lethem,256,8/8/2005,Mariner Books,56.84
Paul Revere's Ride,David Hackett Fischer,464,4/19/1995,Oxford University Press  USA,94.98
The Great Wave: Price Revolutions and the Rhythm of History,David Hackett Fischer,552,11/11/1999,Oxford University Press  USA,70.53
Growing Old in America: The Bland-Lee Lectures Delivered at Clark University,David Hackett Fischer,252,4/1/1978,Oxford University Press  USA,37
Nathaniel Hawthorne: The Scarlet Letter: Essays  Articles  Reviews,Elmer Kennedy-Andrews,192,12/27/2000,Columbia University Press,75.42
The All-True Travels and Adventures of Lidie Newton,Jane Smiley,452,12/29/1998,Ballantine Books,97.03
The Age of Grief,Jane Smiley,224,6/11/2002,Anchor,0.05
A Year at the Races: Reflections on Horses  Humans  Love  Money  and Luck,Jane Smiley,304,4/19/2005,Anchor,68.53
Venetia,Georgette Heyer,364,10/24/2006,Hqn,70.42
Lady of Quality,Georgette Heyer,267,6/2/2005,Arrow,3.59
False Colours,Georgette Heyer,303,6/2/2005,Arrow,71.91
Sylvester,Georgette Heyer/Joan Wolf,410,4/23/2004,Harlequin,56.44
The Convenient Marriage,Georgette Heyer,272,1/6/2005,Arrow,25.03
Sprig Muslin,Georgette Heyer,268,6/2/2005,Arrow,58.61
The Talisman Ring,Georgette Heyer,268,1/6/2005,Arrow,31.44
The Nonesuch,Georgette Heyer,304,1/6/2005,Arrow,22.88
The Foundling,Georgette Heyer/Kay Hooper,406,3/25/2003,Harlequin,37.65
Ali and Nino,Kurban Said/Jenia Graman,237,10/5/2000,Vintage/Ebury,5.5
Ali und Nino,Kurban Said,304,2/1/2002,List,30.94
Last Rights (Francis Hancock #1),Barbara Nadel,352,1/2/2006,Headline,17.82
Belshazzar's Daughter (Inspector Ikmen #1),Barbara Nadel,448,10/1/2006,Felony & Mayhem,44.45
Deep Waters (Cetin Ikmen  #4),Barbara Nadel,448,7/1/2002,Headline,40.47
After the Mourning (Francis Hancock #2),Barbara Nadel,352,12/28/2006,Headline,3.66
Spiritual Midwifery,Ina May Gaskin,482,1/1/2002,Book Publishing Company (TN),36.87
Monday Night Class,Stephen Gaskin,191,7/31/2005,Book Publishing Company,53.11
Summer of the Dragon,Elizabeth Peters,352,3/6/2001,HarperCollins,96.37
Devil May Care,Elizabeth Peters,352,9/4/2001,Avon,31.44
The Deeds of the Disturber (Amelia Peabody  #5),Elizabeth Peters,389,1/5/2000,Avon,38.82
The Mammoth Book of Egyptian Whodunnits,Mike Ashley/Elizabeth Peters/Lynda S. Robinson/Lauren Haney,512,9/20/2002,Running Press,33.98
The Best American Classics,Cook's Illustrated Magazine/John  Burgoyne,421,9/1/2006,Cook's Illustrated,27.1
Cook's Illustrated 2005 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,206,11/15/2005,America's Test Kitchen,51.48
Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,212,11/15/2003,Boston Common Press,6.78
Cook's Illustrated 1995 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,232,12/1/1995,Cook's Illustrated,18.67
Zelda's Cut,Philippa Gregory,432,2/1/2001,HarperCollins Publishers,83.37
Thanksgiving on Thursday (Magic Tree House  #27),Mary Pope Osborne/Salvatore Murdocca,73,9/24/2002,Random House Books for Young Readers,47.52
Rurouni Kenshin  Volume 27,Nobuhiro Watsuki,192,6/6/2006,VIZ Media LLC,79.99
Ranma 1/2  Vol. 27 (Ranma ½ (US 2nd)  #27),Rumiko Takahashi,200,8/10/2004,VIZ Media LLC,53.6
Sukhoi Su-27 Flanker (WarbirdTech  #42),Yefim Gordon/Peter Davison,104,4/1/2006,Specialty Press,89.92
1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen    Jones,32,4/1/1988,Dover Publications,38.28
Gold Rage (Wilderness  #27),David   Robbins/David Thompson,170,5/1/1999,Leisure Books,3.56
Asfixia,Chuck Palahniuk,336,9/1/2006,Debolsillo,13.09
Expectant Father,Melinda Curtis,304,12/15/2011,Harlequin Special Releases,99.9
Horse Heaven,Jane Smiley,640,8/26/2003,Ballantine Books,51.12
White Oleander,Janet Fitch,446,9/1/2001,Little  Brown and Company,74.85
The Night Remembers (Night  #1),Kathleen Eagle,355,6/1/1998,HarperTorch,68.72
The Mephisto Club (Rizzoli & Isles  #6),Tess Gerritsen,355,9/12/2006,Ballantine Books,26.08
Vanish (Rizzoli & Isles  #5),Tess Gerritsen,401,8/29/2006,Ballantine Books,41.22
Call After Midnight & Under The Knife,Tess Gerritsen,555,4/25/2006,Harlequin,0.57
The Sinner (Rizzoli & Isles  #3),Tess Gerritsen,419,1/17/2005,Bantem Press,27.26
Body Double (Rizzoli & Isles  #4),Tess Gerritsen,432,7/26/2005,Ballantine Books,0.81
Life Support,Tess Gerritsen,400,8/1/1998,Pocket Books,12.7
The Family that Couldn't Sleep,D.T. Max,299,9/5/2006,Random House (NY),33.34
River Out of Eden: A Darwinian View of Life,Richard Dawkins/Lalla Ward,172,8/23/1996,HarperCollinsPublishers,30.88
Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,271,12/12/1986,Ballantine Books,36.78
Eden: It's an Endless World  Volume 1 (Eden: It's an Endless World  #1),Hiroki Endo,216,11/15/2005,Dark Horse Manga,14.79
Demonic Males: Apes and the Origins of Human Violence,Richard W. Wrangham/Dale Peterson,368,11/14/1997,Mariner Books,63.08
A Mad People's History of Madness,Dale Peterson,384,3/15/1982,University of Pittsburgh Press,3.11
A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky,304,3/12/2002,Scribner,6.36
Blame It on the Brain: Distinguishing Chemical Imbalances  Brain Disorders  and Disobedience,Edward T. Welch,204,6/1/1998,P & R Publishing,60.3
Blame!  Vol. 7,Tsutomu Nihei,210,2/1/2007,TokyoPop,52.15
The Berenstain Bears and the Blame Game,Stan Berenstain/Jan Berenstain,32,10/7/1997,Random House Books for Young Readers,57.09
Blame!  Vol. 8,Tsutomu Nihei,216,5/1/2007,TokyoPop,39.29
The New Don't Blame Mother: Mending the Mother-Daughter Relationship,Paula J. Caplan,320,3/25/2000,Routledge,38.21
Blame It on Paris,Laura Florand,384,10/3/2006,Forge Books,0.27
No Wind of Blame (Inspector Hemingway #1),Georgette Heyer,352,9/7/2006,Arrow,46.49
Uncle John's Presents Blame It on the Weather: Amazing Weather Facts,David W. Phillips/Michael Parfit/Suzanne Chisholm/Bathroom Readers' Institute,240,11/1/2002,Portable Press,79.74
Who's To Blame (Sweet Valley High  #66),Francine Pascal/Kate William,152,6/1/1990,Bantam,66.7
Blame! #1,Tsutomu Nihei,245,3/20/2000,Glénat,14.56
Air Gear  Vol. 2 (Air Gear  #2),Oh! Great/大暮 維人,224,10/31/2006,Del Rey,94.21
Air Gear  Vol. 3 (Air Gear  #3),Oh! Great/大暮 維人,224,1/30/2007,Del Rey,63.81
Air Gear  Vol. 1 (Air Gear  #1),Oh! Great/大暮 維人,224,7/25/2006,Del Rey,26.84
Air Gear  Vol. 4 (Air Gear  #4),Oh! Great/大暮 維人,224,5/1/2007,Del Rey,83.23
Fire in the Minds of Men: Origins of the Revolutionary Faith,James H. Billington,677,1/1/1980,Basic Books,23.23
Mutant Message Down Under,Marlo Morgan,187,5/25/2004,Harper Perennial,41.37
Mutants & Masterminds: RPG,Steve Kenson/Ramón Pérez,253,11/1/2005,Green Ronin Publishing,4.97
Mutants: On Genetic Variety and the Human Body,Armand Marie Leroi,448,1/25/2005,Penguin Books,11.11
The New Mutants Classic  Vol. 1,Chris Claremont/Bob McLeod,240,5/3/2006,Marvel,78.61
James Dean: The Mutant King: A Biography,David Dalton,384,9/1/2001,Chicago Review Press,17.91
Dry,Augusten Burroughs,293,4/1/2004,Picador USA,9.97
Yes  Your Teen Is Crazy!: Loving Your Kid Without Losing Your Mind,Michael J. Bradley,332,11/8/2002,Harbor Press,8.95
El Retrato De Dorian Gray,Oscar Wilde,251,4/7/2006,Mestas Ediciones,33.52
Henry IV  Part 1,William Shakespeare/Barbara A. Mowat/Paul Werstine,336,1/1/2005,Simon  Schuster,30.95
Henry IV  Part 2,William Shakespeare/Barbara A. Mowat/Paul Werstine,400,1/1/2006,Simon  Schuster,47.91
Henry IV  part II,William Shakespeare,336,4/26/2005,Penguin UK,40.58
King Henry IV  Part 2,William Shakespeare/Arthur Raleigh Humphreys,336,10/12/1967,Bloomsbury Arden Shakespeare,66.25
Piccole donne,Louisa May Alcott/Jame's Prunier/Laura Cangemi,288,4/15/2001,Piemme,9.82
I Henry IV,William Shakespeare/Gordon McMullan,432,4/22/2003,W. W. Norton & Company,50.01
Collected Plays: Henry IV  The Man with the Flower in His Mouth  Right You Are,Luigi Pirandello/Henry Reed,236,7/1/1987,Riverrun Press (New York  NY),65.98
Henry IV  Parts I & II,William Shakespeare/Ronald K. Levao,400,12/1/2006,Pearson,66.97
Black Sunday,Thomas  Harris,311,11/1/2005,NAL,14.73
Hannibal (Hannibal Lecter  #3),Thomas  Harris,564,5/18/2000,Arrow,91.98
The Hannibal Lecter Trilogy,Thomas  Harris,1222,11/3/2005,William Heinemann Ltd.,8.12
Velocity,Dean Koontz,460,4/25/2006,Bantam,29.76
Hideaway,Dean Koontz,413,7/5/2005,Berkley,29.17
Lightning,Dean Koontz,384,9/2/2003,Berkley,43.28
Icebound,David Axton/Dean Koontz,408,9/5/2000,Bantam,90.79
The Servants of Twilight / Darkfall / Phantoms,Dean Koontz/Leigh Nichols,752,7/27/1991,Wings,60.58
Shadow Fires,Leigh Nichols/Dean Koontz,528,6/1/1993,Berkley,83.62
The Bad Place,Dean R. Koontz,417,7/6/2004,Berkley,99.58
Fear Nothing (Moonlight Bay  #1),Dean Koontz,448,12/1/1998,Bantam Books,43.37
The Key to Midnight,Dean Koontz/Leigh Nichols,419,6/1/1995,Berkley Books,43.02
Mr. Murder,Dean Koontz,493,7/5/2006,Berkley,8.45
Phantoms,Dean Koontz,448,2/5/2002,Berkley,14.68
The Face,Dean Koontz,649,4/27/2004,Bantam,89.23
Shattered,Dean Koontz,289,2/15/1985,Berkley,27.37
Intensity,Dean Koontz,436,10/31/2000,Bantam,44.58
The Good Guy,Dean Koontz,386,5/29/2007,Bantam,2.74
The Eyes of Darkness,Leigh Nichols/Dean Koontz,366,7/1/1996,Berkley,53.46
The Door to December,Richard Paige/Dean Koontz,518,6/1/2002,Berkley Books,20.77
The Servants of Twilight,Leigh Nichols/Dean Koontz,499,5/16/1991,Headline Feature,20.03
Darkfall,Dean Koontz,371,2/6/2007,Berkley,76.49
Ghosts and Grisly Things,Ramsey Campbell/Jack Dann/Dennis Etchison,300,10/11/2001,Tor Books,14.95
Shakespeare: The Biography,Peter Ackroyd,608,11/14/2006,Anchor,85.16
The Necessary Shakespeare,William Shakespeare,896,8/27/2004,Longman Publishing Group,32.08
Shakespeare After All,Marjorie Garber,1008,9/20/2005,Anchor Books,68.69
Playing Shakespeare: An Actor's Guide,John   Barton/Luann Walther,288,8/21/2001,Anchor,10.28
John Grisham Value Collection: A Time to Kill  The Firm  The Client,John Grisham/Michael Beck/Blair Brown/D.W. Moffett,0,6/1/2004,Random House Audio,1.39
The Pelican Brief,John Grisham,400,4/25/2006,Delta,63.47
The Harry Bosch Novels  Volume 1: The Black Echo / The Black Ice / The Concrete Blonde (Harry Bosch #1-3),Michael Connelly,794,10/22/2001,Little  Brown & Company,3.9
Echo Park (Harry Bosch  #12; Harry Bosch Universe  #16),Michael Connelly,405,10/9/2006,Little  Brown & Company,1.26
Angels Flight (Harry Bosch  #6; Harry Bosch Universe  #7),Michael Connelly,454,1/5/2000,Warner Books (NY),82.53
The Harry Bosch Novels  Volume 2: The Last Coyote / Trunk Music / Angels Flight (Harry Bosch  #4-6),Michael Connelly,821,11/3/2003,Little  Brown and Company,11.47
The Closers (Harry Bosch  #11; Harry Bosch Universe  #14),Michael Connelly,432,10/2/2006,Grand Central Publishing,17.96
The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly,510,7/1/2002,Grand Central Publishing,19.08
Chasing the Dime,Michael Connelly,448,9/1/2003,Warner Books,56.64
The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly,482,12/1/2002,Grand Central Publishing,68.16
Tales From Shakespeare,Charles Lamb/Mary Lamb/Arthur Rackham,278,8/5/1994,Wordsworth Editions,77.17
Shakespeare's Champion (Lily Bard  #2),Charlaine Harris,214,12/5/2006,Berkley Books,28.55
Will in the World: How Shakespeare Became Shakespeare,Stephen Greenblatt,430,9/30/2004,W.W. Norton & Company (NY/London),12.2
Sonnets,William Shakespeare/Barbara A. Mowat/Paul Werstine,391,2/1/2004,Simon  Schuster,87.72
Shakespeare's Trollop (Lily Bard  #4),Charlaine Harris,194,5/4/2004,Berkley,77.41
Shakespeare's Kitchen: Renaissance Recipes for the Contemporary Cook,Francine Segan/Tim Turner/Patrick O'Connell,288,10/14/2003,Random House,66
Sonnets,William Shakespeare/Stephen  Booth,583,7/11/2000,Yale University Press,71.45
The Art of Shakespeare's Sonnets,Helen Vendler,692,11/1/1999,Belknap Press of Harvard University Press,50.67
Hide (Detective D.D. Warren  #2),Lisa Gardner,375,1/30/2007,Bantam Books,59.32
Alone (Detective D.D. Warren  #1),Lisa Gardner/Anna Fields,451,12/27/2005,Bantam,69.78
The Third Victim (Quincy & Rainie  #2),Lisa Gardner,384,1/30/2001,Bantam,2.77
On Becoming a Novelist,John Gardner/Raymond Carver,150,10/17/1999,W. W. Norton & Company,53.01
The Art of Fiction: Notes on Craft for Young Writers,John Gardner,224,6/4/1991,Vintage,18.86
October Light,John Gardner/Tom Bissell,399,10/17/2005,New Directions,83.4
Excellence,John W. Gardner,176,4/17/1995,W. W. Norton  Company,5.21
Conversations with Bernard Malamud (Literary Conversations),J. Michael Lennon/Lawrence M. Lasher,156,4/28/1991,University Press of Mississippi,28.73
Essential Tales and Poems,Edgar Allan Poe/Benjamin F. Fisher,688,10/25/2004,Barnes  Noble Classics,21.17
Poetry  Tales and Selected Essays,Edgar Allan Poe/Gary Richard Thompson/G.R. Thompson/Patrick F. Quinn,1520,10/1/1996,Library of America,45.14
The Complete Stories,Franz Kafka/Nahum N. Glatzer/John Updike,488,11/14/1995,Schocken Books,71.29
The Sons,Franz Kafka/Edwin Muir/Willa Muir/Eithne Wilkins/Ernst Kaiser/Mark Anderson/Arthur S. Wensinger,167,8/5/1989,Schocken,18.54
The Metamorphosis and Other Stories,Franz Kafka/Donna Freed/Jason Baker,191,9/20/2004,Barnes  Noble Classics,5.23
The Metamorphosis And Other Stories,Franz Kafka/Joachim Neugroschel,227,12/1/1993,Scribner Book Company,17.8
Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,371,3/1/1990,Pocket Books,46.48
Lolita,Richard Corliss,96,12/27/1994,British Film Institute,0.53
Lolita: The Screenplay,Vladimir Nabokov,240,8/26/1997,Vintage,4.13
Lolita,Vladimir Nabokov/Martin Amis,335,3/9/1993,Everyman's Library,79.5
Mysteries,Knut Hamsun/Sverre Lyngstad,313,1/1/2001,Penguin Classics,99.19
Hunger,Knut Hamsun/George Egerton,134,11/17/2003,Dover Publications,1.47
Victoria,Knut Hamsun/Oliver Stallybrass,155,10/1/1994,Sun & Moon Press,59.81
The Wanderer,Knut Hamsun/Oliver Stallybrass/Gunnvor Stallybrass,164,4/30/2001,Condor Books,49.32
Pan,Knut Hamsun/Sverre Lyngstad,181,9/1/1998,Penguin Classics,78.78
The Last Joy,Knut Hamsun/Sverre Lyngstad,250,7/1/2002,Green Integer,49.68
In Wonderland,Knut Hamsun/Sverre Lyngstad,185,9/1/2003,Ig Publishing,62.78
Guilty as Charged,Scott Turow/Sarah Shankman/Jay Brandon/Jeremiah Healy/Ed Gorman/John Jakes/Maynard F. Thomson/Lia Matera/Susan Dunlap/Bill Pronzini/John Lutz/Andrew Klavan/Marcia Muller/Stuart M. Kaminsky/Carolyn Wheat/Stan Washburn/Valerie Frankel,10,10/1/1996,Pocket Books,87.3
On the Shoulders of Giants: The Great Works of Physics and Astronomy,Stephen Hawking/Isaac Newton/Nicolaus Copernicus/Albert Einstein/Johannes Kepler/Galileo Galilei,256,1/1/2006,Penguin Books,47.06
Visions of Heaven and Hell,Clive Barker,352,9/27/2005,Rizzoli,73.26
Books of Blood: Volumes One to Three (Books of Blood #1-3),Clive Barker,507,10/1/1998,Berkley Books,44.02
Everville (Book of the Art #2),Clive Barker,697,11/3/1999,HarperPerennial,90.25
The Great and Secret Show (Book of the Art #1),Clive Barker,658,11/3/1999,HarperPerennial,64.79
Abarat: Days of Magic  Nights of War,Clive Barker,569,9/26/2006,HarperCollins,37.53
Imajica: The Reconciliation,Clive Barker,544,5/10/1995,HarperTorch,58.6
Sacrament,Clive Barker,594,5/1/1997,Harper Voyager,32.41
The Inhuman Condition (Books of Blood  #4),Clive Barker,180,3/1/2001,Pocket Books,46
Notebook of a Return to the Native Land,Aimé Césaire/Annette Smith/Clayton Eshleman,66,9/24/2001,Wesleyan University Press,72.48
The Return of the Native,Thomas Hardy/Alexander Theroux,448,2/13/2001,Modern Library,89.13
The Return of the Native,Thomas Hardy/Phillip Mallett,552,2/14/2006,W. W. Norton & Company,68.47
The Stephen King Collection: Stories from Night Shift,Stephen King/John  Glover,9,5/2/2000,Random House Audio,31.97
Blood and Smoke,Stephen King,4,1/1/2000,Simon & Schuster Audio,97.74
LT's Theory of Pets,Stephen King,1,8/1/2001,Simon  Schuster Audio,21.42
Carretera maldita,Richard Bachman/Stephen King/Joseph M. Apfelbäume,362,2/1/1999,Plaza & Janés Editores  S.A.,16.95
Silver Bullet,Stephen King/Bernie Wrightson,255,11/12/1985,Signet,2.02
Patriot Games (Jack Ryan  #1),Tom Clancy,503,5/1/1992,Berkley,90.71
Legends,Robert Silverberg/Stephen King/Robert Jordan/Terry Goodkind/Anne McCaffrey/Orson Scott Card/Tad Williams/George R.R. Martin/Raymond E. Feist/Terry Pratchett/Ursula K. Le Guin,717,9/8/2001,Tor Books,82.86
Bare Bones: Conversations on Terror with Stephen King,Tim Underwood/Chuck Miller/Stephen King,224,7/1/1989,Warner,22.61
Four Past Midnight,Stephen King,768,3/2/2004,Signet,90.28
Gerald's Game,Stephen King,332,9/1/1992,Smithmark Publishers,71.54
Faithful: Two Diehard Boston Red Sox Fans Chronicle the Historic 2004 Season,Stewart O'Nan/Stephen King,445,9/6/2005,Scribner,68.42
El talismán,Stephen King/Peter Straub/Pilar Giralt Gorina,375,7/1/2003,Planeta Publishing,18.94
El umbral de la noche,Stephen King/Gregorio Vlastelica/Eduardo Goligorsky,417,4/30/2004,Debolsillo,87.4
Rabia,Richard Bachman/Stephen King/Hernán Sabaté Vargas,203,9/1/1987,Martínez Roca,8.35
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon/Steven Rimbauer/Ridley Pearson,277,4/29/2001,Hyperion,7.44
Now and on Earth,Jim Thompson/Stephen King,320,2/1/1994,Vintage,79.94
The Monkey,Stephen King/David Purdham,2,10/28/1989,Random House Audio,54.33
Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,1075,10/1/1996,Viking Adult,33.5
Ojos de fuego,Stephen King/Eduardo Goligorsky,528,9/4/2001,Plaza y Janés,23.1
Tevye's Daughters: Collected Stories of Sholom Aleichem,Sholom Aleichem/Frances Butwin,302,11/1/1999,Sholom Aleichem Family Publications,82.51
Favorite Tales of Sholom Aleichem,Sholom Aleichem/Ben Shahn/Frances Butwin/Julius Butwin,692,11/18/1990,Avenel Books,93.95
Brown Girl  Brownstones,Paule Marshall/Mary Helen Washington/Edwidge Danticat,324,8/1/2006,Feminist Press,43.42
V.,Thomas Pynchon,544,8/1/1994,Rowohlt,97.09
Gimpel the Fool: And Other Stories,Isaac Bashevis Singer/Saul Bellow,205,12/31/1988,Farrar Straus Giroux,18.9
At the Mountains of Madness,H.P. Lovecraft/China Miéville/S.T. Joshi,224,6/14/2005,Modern Library,65.23
At the Mountains of Madness and Other Novels,H.P. Lovecraft/James Turner/S.T. Joshi/August Derleth,458,12/1/1985,Arkham House Publishers,67.24
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,184,9/13/1991,Del Rey Books,14.48
Mountain Madness (Wilderness  #24),David   Robbins/David Thompson,170,6/1/1998,Leisure Books,44.44
At the Mountains of Madness and Other Novels of Terror,H.P. Lovecraft/August Derleth/E. Hoffmann Price,552,6/17/2002,Voyager,14.33
The Aeneid,Virgil/Robert Fitzgerald,483,6/30/1992,Everyman's Library,15.79
